book_name,book_url,book_author,book_introduction
Modern C++ for Absolute Beginners,http://www.allitebooks.org/modern-c-for-absolute-beginners/,Slobodan Dmitrović,"Learn the C++ programming language in a structured, straightforward, and friendly manner. This book teaches the basics of the modern C++ programming language, C++ Standard Library, and modern C++ standards. No previous programming experience is required. C++ is a language like no other, surprising in its complexity, yet…"
Microservices Security in Action,http://www.allitebooks.org/microservices-security-in-action/,Prabath Siriwardena,"After a straightforward introduction to the challenges of microservices security, the book covers fundamentals to secure both the application perimeter and service-to-service communication. Following a hands-on example, readers explore how to deploy and secure microservices behind an API gateway as well as how to access microservices accessed by…"
Practical User Research,http://www.allitebooks.org/practical-user-research/,Emmanuelle Savarit,"Explore how User Research has been influenced over the years by a range of disciplines, such as HCI, usability, anthropology, cognitive psychology, ergonomics etc. This book aims to contribute to the User Research community and covers topics that will help UX professionals, students and stakeholders to gain a…"
"Beginning Data Science, IoT, and AI on Single Board Computers",http://www.allitebooks.org/beginning-data-science-iot-and-ai-on-single-board-computers/,Philip Meitiner,"Learn to use technology to undertake data science and to leverage the Internet of Things (IoT) in your experimentation. Designed to take you on a fascinating journey, this book introduces the core concepts of modern data science. You’ll start with simple applications that you can undertake on a…"
Genetic Algorithms in Java Basics,http://www.allitebooks.org/genetic-algorithms-in-java-basics-2/,Pradeeka Seneviratne,"Genetic Algorithms in Java Basics is a brief introduction to solving problems using genetic algorithms, with working projects and solutions written in the Java programming language. This brief book will guide you step-by-step through various implementations of genetic algorithms and some of their common applications, with the aim to…"
Data Mashup with Microsoft Excel Using Power Query and M,http://www.allitebooks.org/data-mashup-with-microsoft-excel-using-power-query-and-m/,Burak Kanber,"Master the art of loading external data into Excel for use in reporting, charting, dashboarding, and business intelligence. This book provides a complete and thorough explanation of Microsoft Excel’s Get and Transform feature set, showing you how to connect to a range of external databases and other data…"
"Advanced R 4 Data Programming and the Cloud,  2nd Edition",http://www.allitebooks.org/advanced-r-4-data-programming-and-the-cloud-2nd-edition/,Lee Jacobson,"Program for data analysis using R and learn practical skills to make your work more efficient. This revised book explores how to automate running code and the creation of reports to share your results, as well as writing functions and packages. It includes key R 4 features such as a new…"
Building Computer Vision Applications Using Artificial Neural Networks,http://www.allitebooks.org/building-computer-vision-applications-using-artificial-neural-networks/,Adam Aspin,"Apply computer vision and machine learning concepts in developing business and industrial applications ​using a practical, step-by-step approach. The book comprises four main sections starting with setting up your programming environment and configuring your computer with all the prerequisites to run the code examples. Section 1 covers the…"
The Art of Immutable Architecture,http://www.allitebooks.org/the-art-of-immutable-architecture/,Joshua F. Wiley,"This book teaches you how to evaluate a distributed system from the perspective of immutable objects. You will understand the problems in existing designs, know how to make small modifications to correct those problems, and learn to apply the principles of immutable architecture to your tools."
Python One-Liners,http://www.allitebooks.org/python-one-liners-2/,Matt Wiley,"Python programmers will improve their computer science skills with these useful one-liners. Python One-Liners will teach you how to read and write “one-liners”: concise statements of useful functionality packed into a single line of code. You’ll learn how to systematically unpack and understand any line of Python code, and…"
Building 3D Digital Games,http://www.allitebooks.org/building-3d-digital-games/,Sarah Guthals,"A technology book for kids! Do you want to create 3D digital games that’ll impress your friends, family, and even yourself? This book shows you how to use Alice, a free 3D game programming environment, to make seriously cool video games you’ll have as much fun building as…"
CISA Certified Information Systems Auditor Practice Exams,http://www.allitebooks.org/cisa-certified-information-systems-auditor-practice-exams/,Peter H. Gregory,"Hundreds of accurate practice questions that cover every topic on the latest version of the CISA exam Written by an IT security and audit expert, this highly effective self-study guide covers all five domains included on the 2019 release of the Certified Information Systems Auditor exam. To reinforce…"
"Teach Yourself VISUALLY Windows 10, 3rd Edition",http://www.allitebooks.org/teach-yourself-visually-windows-10-3rd-edition/,Paul McFedries,"Master Windows 10 by reading only one book Teach Yourself Visually Windows 10, 3rd Edition brings together all of the necessary resources to make you an expert in the use of the latest version of Windows. Using highly visual techniques to maximize learner retention and memory, Teach Yourself Visually Windows 10 will…"
