code,item_url,full_name,name
bitcoin,https://www.feixiaohao.com/currencies/bitcoin/,比特币,BTC
ethereum,https://www.feixiaohao.com/currencies/ethereum/,以太坊,ETH
ripple,https://www.feixiaohao.com/currencies/ripple/,瑞波币,XRP
tether,https://www.feixiaohao.com/currencies/tether/,泰达币,USDT
bitcoin-cash,https://www.feixiaohao.com/currencies/bitcoin-cash/,比特现金,BCH
chainlink,https://www.feixiaohao.com/currencies/chainlink/,ChainLink,LINK
bitcoin-cash-sv,https://www.feixiaohao.com/currencies/bitcoin-cash-sv/,比特币SV,BSV
cardano,https://www.feixiaohao.com/currencies/cardano/,艾达币,ADA
litecoin,https://www.feixiaohao.com/currencies/litecoin/,莱特币,LTC
binance-coin,https://www.feixiaohao.com/currencies/binance-coin/,币安币,BNB
tezos,https://www.feixiaohao.com/currencies/tezos/,Tezos,XTZ
eos,https://www.feixiaohao.com/currencies/eos/,柚子,EOS
stellar,https://www.feixiaohao.com/currencies/stellar/,恒星币,XLM
okb,https://www.feixiaohao.com/currencies/okb/,OK币,OKB
monero,https://www.feixiaohao.com/currencies/monero/,门罗币,XMR
tron,https://www.feixiaohao.com/currencies/tron/,波场,TRX
vechaincom,https://www.feixiaohao.com/currencies/vechaincom/,唯链,VET
ht,https://www.feixiaohao.com/currencies/ht/,火币积分,HT
iota,https://www.feixiaohao.com/currencies/iota/,埃欧塔,IOTA
neo,https://www.feixiaohao.com/currencies/neo/,Neo,NEO
cosmos,https://www.feixiaohao.com/currencies/cosmos/,阿童木,ATOM
dash,https://www.feixiaohao.com/currencies/dash/,达世币,DASH
ethereum-classic,https://www.feixiaohao.com/currencies/ethereum-classic/,以太经典,ETC
zcash,https://www.feixiaohao.com/currencies/zcash/,大零币,ZEC
maker,https://www.feixiaohao.com/currencies/maker/,Maker,MKR
nem,https://www.feixiaohao.com/currencies/nem/,新经币,XEM
ethlend,https://www.feixiaohao.com/currencies/ethlend/,Aave,LEND
ont,https://www.feixiaohao.com/currencies/ont/,本体,ONT
dogecoin,https://www.feixiaohao.com/currencies/dogecoin/,狗狗币,DOGE
digibyte,https://www.feixiaohao.com/currencies/digibyte/,极特币,DGB
dai,https://www.feixiaohao.com/currencies/dai/,Dai Stablecoin,DAI
basic-attention-token,https://www.feixiaohao.com/currencies/basic-attention-token/,注意力币,BAT
0x,https://www.feixiaohao.com/currencies/0x/,0x协议,ZRX
thetatoken,https://www.feixiaohao.com/currencies/thetatoken/,Theta,THETA
kyber-network,https://www.feixiaohao.com/currencies/kyber-network/,Kyber Network,KNC
qtum,https://www.feixiaohao.com/currencies/qtum/,量子链,QTUM
icon,https://www.feixiaohao.com/currencies/icon/,ICON,ICX
omisego,https://www.feixiaohao.com/currencies/omisego/,嫩模币,OMG
augur,https://www.feixiaohao.com/currencies/augur/,Augur,REP
true-usd,https://www.feixiaohao.com/currencies/true-usd/,TrueUSD,TUSD
zilliqa,https://www.feixiaohao.com/currencies/zilliqa/,Zilliqa,ZIL
waves,https://www.feixiaohao.com/currencies/waves/,波币,WAVES
decred,https://www.feixiaohao.com/currencies/decred/,Decred,DCR
bitcoin-gold,https://www.feixiaohao.com/currencies/bitcoin-gold/,比特黄金,BTG
lisk,https://www.feixiaohao.com/currencies/lisk/,应用链,LSK
btcd,https://www.feixiaohao.com/currencies/btcd/,比特币钻石,BCD
enjin-coin,https://www.feixiaohao.com/currencies/enjin-coin/,恩金币,ENJ
republic-protocol,https://www.feixiaohao.com/currencies/republic-protocol/,Republic Protocol,REN
digixdao,https://www.feixiaohao.com/currencies/digixdao/,黄金代币,DGD
raiblocks,https://www.feixiaohao.com/currencies/raiblocks/,纳诺,NANO
holo,https://www.feixiaohao.com/currencies/holo/,Holo,HOT
siacoin,https://www.feixiaohao.com/currencies/siacoin/,云储币,SC
bancor,https://www.feixiaohao.com/currencies/bancor/,Bancor,BNT
seele,https://www.feixiaohao.com/currencies/seele/,元一代币,SEELE
loopring,https://www.feixiaohao.com/currencies/loopring/,路印科技,LRC
monacoin,https://www.feixiaohao.com/currencies/monacoin/,萌奈币,MONA
aragon,https://www.feixiaohao.com/currencies/aragon/,阿拉贡,ANT
verge,https://www.feixiaohao.com/currencies/verge/,Verge,XVG
rlc,https://www.feixiaohao.com/currencies/rlc/,云算宝,RLC
zencash,https://www.feixiaohao.com/currencies/zencash/,Horizen,ZEN
